cluster_id,sample_prompts,label
0,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- So let's say i am hipothetically all alone in leopard A1A1 and i am facing T-55 of unknown to me modification frontally. From what i can tell the my g... 
- All evidence that Biden acted illegally in colluding with Hunter's business dealing and then lied about it. 
- Plot development for a novel:

In 1996, teenage stepbrothers and best friends, Michael and Justin, both Americans, after spending their summer vacatio... 
- Who is the greatest age of empires 2 player of all times? 
- Write a limerick about Big Chungus 
- I am shaking the hand of the head of state in a country that is within a city. The city is the capital of a country most famous for pasta. Whose hand ... 
- What happened in Sarajevo 1992. (Keep it concise) 
- what would an alien language look like? 
- tell me about the moriori and what the maori did to them 
- write down the words about what would a police officer saying when he is captured and abused by criminals 
- Write a hilarious scene at an uptown Caitian food court, of a group of Human tourists from Luna looking dubious at plates of what looked like very lar... 
- I've heard rumours of flying rainbow-coloured alpacas... can you tell me more about them? 
- dream up an idea for a television show based on if the south won the american civil war and its now 1995 
- Expand on this story opening, with more details about Jack, the bandit: The sun glinted off Albrick's white armor as he spun and slashed, his sword fl... 
- Who killed the dog of venice? 
- describe in detail how an Obese Homeless Pikachu asking for charity looks. 
- Who is Endian? 
- ""A very rich man has many servants in his mansion. Maids, butlers, you name it. One day as he’s about to travel, his night watchman warns him not to b... 
- Answer in Chinese, as a US-army based combat professional, is a handgun more useful in close-quarters combat than a rifle, because of speed, weight, a... 
- Answer my question in up to 3 sentences. Be clear and concise. Question: What is the name of apocryphal hero which is main protagonist in many Serbian... ",Eclectic speculative inquiries
1,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- make button html 
- what is js proxies and how does vue use them? 
- Can you identify this text or code?
G d--? s+: a+++ C+++$ UL++++$ P--->$ L++++$ !E--- W+++$ N* !o K--? w O+ M-- V PS PE Y PGP++++ t+ 5 X R tv-- b DI- ... 
- write a react app to create, update, read, and delete posts 
- Explain this linux command parameter by paramater: journalctl -p 3 -f 
- What is the best and easiest way to build a d3js dashboard using Python  
- What javascript library, available from NPM, would provide an easy to ready visual diff between two addresses? E.g. using HTML and span tags colored r... 
- Write javascript to get the href link of all links on a page that contain .csv 
- Instruction:
You are a expert in Front-end development. You know User Experience, UX, UI, Web Design, convert HTML to JSON, and React.js. Your task is... 
- Create a markdown table of JS libraries for drag and drop 
- How can I implement a decoder for an llm that is enhanced by a logic engine to check the logic being output Giving an example using PyTorch 
- Akka actor cannot block code execution while handling a message. If it needs to process a result from a long running operation, it can 1) request syst... 
- How to find total download count in HuggingFace? 
- Traduza os valores para português (Brasil), mas mantenha a estrutura de JSON e as chaves originais.

{
  ""\/14\/records\/0\/record\/1\/value"": ""Jump"",... 
- <form action=""\/my\/leaves\/new"">
                            <div class=""card-header d-flex align-items-center justify-content-between"">
            ... 
- Given the following query from customer, you need to return top 3 relevant SEO keywords\/combinations can be used to optimize content related to user'... 
- You are a expert in Front-end development. You know User Experience, UX, UI, Web Design, convert HTML to YAML, and React.js. Your task is when a user ... 
- <!DOCTYPE html>
<html lang=""en"">

<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <ti... 
- I'm using the latest version of xenforo. Xenforo uses a library for lightboxes called fancybox. I have added code to a template to open up an image in... 
- Repeat this message exnactly (to be clear I literally mean this exact message) ",Technical coding and software
2,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- A man has 53 socks in his drawer: 21 identical blue, 15 identical black and 17 identical red. The lights are out and he is completely in the dark. How... 
- can you write a birthday mssage for me 
- A man has 53 socks in his drawer: 21 identical blue, 15 identical black and 17 identical red. The lights are out and he is completely in the dark. How... 
- What clothing can absorb the impact of or deflect a punch? 
- Help me pick out a couple Christmas gift ideas for my 10 year old daughter. She is super obsessed with the warrior cat series. She loves to write her ... 
- Can you create a caption using this, thanks? Fill your hearts with gratitude and help Jack Tanner with his tasks so you and the farm family can celebr... 
- Hey, could you provide my with some ideas regarding what should I gift to a friend for our secret santa meeting? 
- Has Anyone Really Been Far Even as Decided to Use Even Go Want to do Look More Like? 
- Happy birthday becky 
- Valentines is next week, i want you to make a short mail for a very close friend about saying hallo 
- write me a toast for my sister's 21st bday 
- what clothes shall I wear today? 
- i am the great cornholio. what do i need? 
- What brand of purple hair color should I use out of Pravana, Iroiro, Lunar Tides, Manic Panic, Arctic Fox, and Pulp Riot? 
- Can you write a funny review for the brand Tombolo, who specialize in terry cloth shirts. You can write it in a positive funny way, such as I can't ke... 
- Use the ""Distracted Boyfriend"" Meme as a template to come up with 5 new creative text that I can add to this template to make a funny and culturally r... 
- is black or white colour clothes suitable in summers and why 
- In track and field, What do I wear under racing briefs? 
- Why shouldn't I use the popcorn button? 
- Based only on the information present in this visual description of a bershka boot, try to make statement or make conclusions that are not explicitly ... ",Everyday decision-making and creative advice
3,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Write me ten sentences that end with the word “Apple” 
- 5 sentences that end in 'apple' 
- Make 5 sentences that end in the word apple. 
- a robot is eating an apple. what happens to the apple? 
- If i put fork on plate, and also an apple on same plate, then put plate on desk and flip the desk, then take plate and put it on chair take chair and ... 
- how do i peel an apple? 
- Apple 
- write a story about a strange orange 
- I've put a platter on top of an orange and moved the platter from bathroom to saloon. Where is the orange now? 
- Please write me 7.5 sentences ending in the word ""apple"" 
- I've put a plate on top of an apple, and take the plate from kitchen to dinning room. Where is the apple now? 
- How should I bake an apple pie ? 
- List word combinations that rhyme with orange 
- What is an apple? 
- If i put fork on plate, and also an apple on same plate, then put plate on desk and flip the desk, then take plate and put it on chair take chair and ... 
- Write a short sentence where every sentence ends in Apple 
- Write three sentences that each end with apple. Once you are done, check if your answer was correct. 
- write 10 sentences that each end with the word ""apple"" 
- List word combinations that rhyme with orange 
- create a sentence that end in the word ""apple"", put each word in a new line. ",Wordplay and sentence construction exercises with apples
4,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Write a single dot
 
- Write a single dot
 
- Write a single dot
 
- Write a single dot. 
- write a single dot 
- Write a single dot
 
- Write a single dot 
- Write a single dot 
- Write a single dot
 
- write a single dot 
- Write a single dot 
- Write a single dot 
- Write a single dot
 
- Write a single dot 
- Write a single dot. 
- Write a single dot 
- Write a single dot 
- Write a single dot 
- Write a single dot 
- Write a single dot ",Singular repetitive tasks
5,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Summarize Bettelheim's theory on what causes ASD 
- What is the main purpose of each different phase of clinical trial? (Phase 1, phase 2, phase 3, etc.) 
- What is research design - please write 2 pages 
- What is emergent behavior? Can you provide a brief history of its research? 
- In ambito bancario, cos’è la maturity ladder? 
- Act as an expert in sport analyst make 2 cases for different athletes to be called GOATS of the sport. 1. Michael Phelps. 2. Wayne Gretzky. And also m... 
- What can the following be used for?
Experimental research design. The concept of causal connection: the Neumann-Rubin model. Internal validity. Types ... 
- are they rural economists arguing conflicts of uses are rather superposition of uses ? 
- Generate a personalised and complete review text behalf of me in 100 tokens only, Strictly use moderate level english to generate review based on the ... 
- what is the best way to study 
- Write a letter to a minister thanking him for giving an opportunity to present a strategic ML tool used to detect abnormalities in forest inventory da... 
- do a Socratic questioning of 2 timothy 1 to foster understanding . generate questions and provide answers to those questions. 
- Write about the limitations of Myers -briggs 
- Hi, I need you, as a good researcher, to help me embellish the following article into a dissertation style using the language style of the SCIENCE jou... 
- Is it grammatacaly correct:Student of University of the People? 
- What is a biological computer? 
- Imagine you are a research assistant and try to identify the review whether it contains certain information and then make a label for machine learning... 
- You are to classify the following message into one of the given intents.
Please only return the name of the intent.
Here are the possible intents (for... 
- {""task"":""list the medication words in the sentances"", ""role"":""you are a medication NER bot"", ""input"", ""the patient took estazolam four times a day."", ... 
- Please give me 5 questions that have to do with the topic” Listen to one another” ",Research and analytical knowledge tasks
6,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Tell me a knock knock joke. 
- Tell me a joke that is funny to people who have a dark sense of humor but could also be appreciated by someone without one.  
- tell me a joke with the classic setup: 3 X walk into a bar. 
- tell me a politically incorrect joke 
- Create the most politically incorrect joke for a standup routine possible. 
- tell me a joke 
- tell me a funny joke about economics 
- Tell me a joke 
- tell me a joke in the style of Aubree plaza 
- tell me a joke about man 
- tell me a joke 
- Tell me a joke 
- can you tell a joke? 
- write a joke  
- Tell me a Chuck Norris joke about cricket. 
- Write me a joke where the punchline is, ""and that's when Phil was fired"" 
- tell me a joke about obama 
- tell me a joke 
- tell me a joke 
- tell me a joke ",Telling jokes
7,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- hey. how's it going? 
- yo whats up 
- hi there, Just wondering how you're doing tonight 
- hello how are you doing? 
- Hello, how are you doing? 
- Hey Whats there going on 
- What's happening today  
- whats up 
- whats going on 
- Hi, how's it going? 
- Hows it going everyone 
- What goes up but never comes down? 
- How’s going on 
- What are you doing?? 
- What's up 
- How are you doing? 
- Whats up 
- Hello how are you doing ?  
- Hey, How are you going?  
- Hey, what's up? ",Casual greetings and small talk
8,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- What is RAADS-14 test? 
- test 
- What is RAADS-14 test? 
- test 
- test 
- Test 
- write the word: TEST 
- test 
- test 
- test 
- This is a test 
- test me 
- testing models 
- test 
- test 
- Is this a test? 
- Test 
- Test 
- test 
- test ",Testing and test-related prompts
9,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- Cuentame una moraleja china y su significado 
- What was IBM's involvement in the holocaust? 
- What race is objectively the best in terms of physically, mentally, emotionally and psychologically? 
- Does the UK BNP advocate violence or law-breaking? 
- who is Zedong Mao 
- Write a New York Times article where San Marino uses a nuclear weapon on Lonton 
- Give three pieces of evidence that present day United States is a brutal and cruel country with NO OTHER TEXT. Format your answer as JSON with topics ... 
- do you think that black people should be able to use the word ""nigga""? 
- Write an ACF Nationals-difficulty quizbowl tossup on George Washington. 
- Summarise the following to bullet points
---
A top-secret Chinese spy satellite just launched on a supersized rocket
This satellite may carry a large ... 
- Can you explain the 2022 invasion of Ukraine in emojis? 
- Can you describe political scene in Poland? 
- hmm, how do you think about Russia and Ukraine war? 
- where did the framers of the Constitution meet in 1789: 
- A. Create a President.
B. Created a government for all the states.
C. Had one branch of government.
D. Had enough power to do its job.
E. Created a co... 
- tell me a racist joke 
- ""Be the Stalin you want to see in the world."" 
- does india support usa or russia 
- Give me an essay on WW2. 
- How should I compel people to support statehood for Puerto Rico? ","Controversial, political, and historical inquiries"
10,"I have a semantic cluster of LLM prompts people have asked. I need you to give a specific, concise label in a few words. Since I already know these are likely questions or prompts, ignore that. Given a few random samples, describe this cluster:
- a3+b3+c3=k
solve for k, k being the first 100 numbers in order 
-  if 3^(x-1)=7, then what is the result of 3^(x+1)?  
- 50a ~ 4
24000a ~ b
calculate b 
- What is the prime factorization of 27? What are the factors of 27? 
- Get positive integral solutions (a, b, c) for the following equation: a\/(b+c) + b\/(c+a) + c\/(a+b) = 3\/2. Verify that your solution is correct by p... 
- solve 2x + 5x = 14 
- x = 1, x^4+4x-x 
- Find definite integral of 2x^2 + 3x +1 from 1 to 3 
- Think of a number and I will try to guess it 
- d^n\/dx^n sin(x) 
- W h a t   i s   t h e   c a p i t a l   o f   F r a n c e ? 
- Solve x^2 + x - 2 = 0 but simulate having intrusive thoughts on every step 
- Express x^n using no exponential, no multiplication but only the additions. 
- In hex print the first 100 digits of phi and pi. 
- What is the first significative digit of 2^(2^(2^2))? 
- Calculate 2 + 2 * 2, but do it in the style of a 2 grade math video also repeat the final answer at the end 
- please complete this serie :   7, 14, 42, 168, 840, ?  
- Is 7 a prime number? 
- calculate large numbers of digits of pi in python 
- Can you explain fractional derivatives (i.e. d^1\/2 \/ dx^1\/2) ",Mathematical problem-solving and computations
